;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
bbjb 避忌 步步紧逼 百般狡辩
bbjd 并不觉得
bbjf 鞭不及腹
bbjg 不变价格
bbjj 白白净净 边边角角 百般纠结 并不仅仅 巴巴结结
bbjl 变本加厉
bbjr 屏迹
bbjs 比比皆是 半壁江山
bbjx 步步惊心 不避艰险 版本进行
bbjy 并不介意 不必介意
bbjz 标本兼治 本报记者 被绑架者
bbk; 不包括 背包客
bbkg 并不客观
bbkh 并不看好
bbkj 爸爸看见
bbkk 绊绊磕磕
bbkl 避开 剥开
bbkm 必不可免
bbkn 并不可能
bbkp 并不可怕
bbkq 不必客气 必不可缺 并不可取
bbks 壁龛 必不可少
bbku 剥壳
bbkx 并不开心
bbkz 并不看重
bbl' 八百里秦川 版本浏览器 便把令来行 八八六十四 板板六十四
bbl; 巴比伦 八百里 不变量 半边莲 步兵旅 芭芭拉 比不了 颁布了 不必了 冰冰凉 办不了
bblc 壁垒
bblf 白白浪费
bblg 剥落
bblh 步步莲花
bblj 避雷
bblk 奔波劳苦
bbll 斑驳陆离 奔波劳碌 半半拉拉 被保留了
bbln 臂力
bblo 避乱
bblp 宝贝老婆
bblq 并不领情
bblr 剥离
bblt 壁炉
bblx 并不理想
bbly 半部论语 毕不了业 必备良药
bbm' 爸爸妈妈的
bbm; 帮帮忙 本部门 把把脉 八百米
bbmb 帮帮忙吧
bbmc 报表名称
bbmd 并不矛盾
bbmi 避免
bbmj 避霾
bbmm 爸爸妈妈
bbmq 不必勉强
bbms 抱布贸丝
bbmx 并不明显
bbmz 并不满足
bbn; 并不能 败不馁 并不难
bbnc 避难
bbng 并不能够
bbnk 避匿
bbnn 白白嫩嫩 别别扭扭
bbno 避年
bbnp 臂臑
bbnv 宝贝女儿
bbo 擘
bboe 鐾
bbp; 抱不平 苯并芘 百白破 白百破
bbpl 本报评论
bbpn 剥皮
bbpp 白白胖胖
bbq; 北半球 八步区 保不齐 比不起
bbqc 并不清楚
bbqd 波霸乔丹
bbqg 遍布全国 彪炳千古 并不奇怪
bbqh 剥取
bbql 壁球
bbqm 背本趋末
bbqo 屏气
bbqq 彪炳千秋 悲悲戚戚 悲悲切切
bbqr 屏弃
bbqs 并不全是
bbqu 剥去
bbqw 不变其文
bbqy 并不起眼
bbqz 百般劝阻
bbr' 兵败如山倒 比别人便宜
bbr; 播报人 被别人 并不如
bbrd 比别人多 把别人的
bbre 避让
bbrg 比别人贵
bbrk 并不认可
bbrr 百般忍让
bbrw 并不认为
bbry 并不容易
bbs' 并不是一个 步步生莲花 并不是什么 摆不上台面 并不是因为
bbs; 并不是 八宝山 比不上 摆摆手 不必说 百八十 帮不上 步兵师 背背山 并不算
bbsb 百八十遍
bbsc 彪炳史册
bbsd 璧山
bbsf 壁上
bbsh 避世
bbsi 剥蚀
bbsj 勃勃生机
bbsk 避暑
bbsl 爸爸说了 爸爸手里
bbsm 帮不上忙 不辨菽麦
bbsn 比不上你 宝贝孙女
bbso 避税
bbss 避俗 颁布实施 并不是说 不办实事
bbsu 屏声
bbsw 并不是我 比不上我
bbsx 并不熟悉
bbsy 百不失一
bbsz 宝贝孙子 补补身子 爸爸手中
bbt' 本报特约记者
bbt; 半边天 棒棒糖 巴比妥
bbtb 避退
bbtc 版本投产
bbte 避谈
bbth 不避汤火 并不太好
bbtj 必备条件 爸爸听见
bbtl 不便透露
bbto 壁毯
bbtp 剥脱
bbtt 百般挑剔 蹦蹦跳跳
bbty 并不同意
bbu 嬖
bbv; 宝贝儿 病包儿
bbvl 彬彬有礼
bbvm 避而
bbvs 苯丙氨酸
bbvx 蹦蹦儿戏
bbvz 宝贝儿子
bbw; 北部湾 半包围 帮帮我
bbwb 并不违背
bbwc 卑鄙无耻
bbwd 不帮我的
bbwn 被逼无奈 百般无奈 百般为难
bbwp 臂腕
bbwq 并不完全 碧波万顷
bbwr 臂弯
bbwt 版本问题
bbww 病病歪歪 芭比娃娃
bbwx 白璧无瑕 白璧微瑕
bbwy 步步为营 必败无疑 百般武艺
bbx' 被剥削阶级
bbx; 百宝箱 本报讯 被剥削 并不想 八边形 不罢休
bbxd 拜把兄弟
bbxf 并不幸福 版本修复
bbxg 并不习惯
bbxh 剥下
bbxj 斑斑血迹
bbxk 辟邪
bbxm 壁厢
bbxn 避嫌
bbxq 宝贝详情 办不下去
bbxr 兵不血刃 卑鄙小人 被保险人
bbxs 剥削
bbxt 并不相同
bbxw 卑鄙行为 并不希望 不抱希望
bbxx 避险
bbxy 屏息
bby' 并不意味着 巴布亚新几内亚
bby; 不包邮 不必要 北冰洋 不必因 变变样
bbyd 并不一定 不必要的
bbyh 避雨
bbyj 兵不由将
bbyk 辟易
bbyl 璧玉
bbym 不拔一毛
bbyn 避孕
bbyp 璧月
bbyq 兵不厌权
bbyw 并不意味
bbyx 并不影响 不被允许
bbyy 病病殃殃 并不一样 并不亚于 爸爸一样 并不予以
bbyz 兵不厌诈 并不一致
bbz' 摆不正关系 不把自己当外人
bbz; 八宝粥 半辈子 拜把子 备不住 包包子 八辈子 并不在 憋不住 背不住 不标准 保不住 白报纸 把不准
bbzb 臂展
bbzc 不便之处
bbzd 臂助 并不知道 不败之地 卑不足道 本不知道 并不值得
bbze 避之
bbzf 避战
bbzh 本报综合 把病治好
bbzj 避震 八拜之交 辨别真假 败兵之将
bbzl 憋不住了 绷不住了 保不住了 蚌埠住了
bbzm 壁砖
bbzn 百般阻挠
bbzo 避重
bbzp 臂肘
bbzq 并不准确 北部战区
bbzr 臂章
bbzs 屏住
bbzt 避着 并不赞同
bbzv 壁纸
bbzw 不辨真伪
bbzx 壁障
bbzy 壁钟 不白之冤 本本主义 并不在于 不必在意 百步之遥 并不重要 并不在意
bbzz 八辈祖宗
bc 波
bca 濒
bcau 瀑 畚
bcb' 不吃白不吃
bcb; 备查簿 不错吧
bcbb 保持不变 并存不悖 本次版本
bcbc 波波
bcbd 把持不定
bcbf 不茶不饭
bcbh 白吃白喝 不吃不喝 不吹不黑
bcbj 波霸
bcbk 波比 别踩白块 边吃边看
bcbl 不成比例
bcbm 奔驰宝马
bcbn 不吵不闹
bcbs 本次比赛
bcbx 不粗不细
bcby 百吃不厌
bcbz 包吃包住 把持不住 补偿标准
bcc; 不成材 被查处
bccc 波潮
bcck 泊车
bccl 补充材料 被查出来
bccm 保持沉默
bcco 波长
bccp 泊船
bccr 波次
bcct 悲愁垂涕
bccu 滨城
bccw 本次错误
bccx 不常出现
bcd' 不错的成绩 包产到户制
bcd; 白炽灯 不错的 彼此的 悲惨的 不插电
bcdb 波导
bcdd 白炽电灯
bcdg 波荡
bcdh 包产到户
bcdk 波顿
bcdl 波动
bcdo 波等
bcdq 必成大器
bcds 彼此都是 悲催的是 悲摧的是 班禅大师
bcdt 波道
bcdu 泊地
bcdw 畚斗
bcdx 保持队形
bcdy 波段
bce 滨
bcei 汴 瀌
bceu 泌
bcf; 补偿费
bcfb 本次发布
bcfd 波幅 波峰
bcfj 并处罚金
bcfq 不曾放弃
bcfu 波分
bcfx 本次发行
bcfy 不成方圆 不测风云
bcg' 博采各家之长 百尺竿头更进一步
bcg; 不超过 便常规 鼻唇沟 别错过
bcgd 补充规定
bcge 波诡
bcgh 百川归海
bcgj 编程工具 变成国家
bcgm 本草纲目
bcgr 波高
bcgs 波光
bcgt 百尺竿头
bcgu 波谷
bcgx 本次更新
bcgz 保持干燥
